frp,latitude,longitude,county,local_date,daynight,temp,tmin,tmax,rhum,prcp,wspd,pres,elevation,slope,aspect,fuel_model,fuel_class,years_since_last_burn,log_frp
17.9,40.7672,-122.172,Shasta,2020-02-28,D,13.6,3.9,22.2,54.0,0.0,3.6,1019.0,429.0,20.0,109.0,186.0,Timber Litter,81.0,1.252853273602441
8.1,40.5734,-122.4827,Shasta,2020-02-28,D,13.6,3.9,22.2,54.0,0.0,3.6,1019.0,313.0,6.0,19.0,186.0,Timber Litter,2.0,0.9084855550443458
20.2,40.5709,-122.4687,Shasta,2020-02-28,D,13.6,3.9,22.2,54.0,0.0,3.6,1019.0,258.0,4.0,90.0,183.0,Timber Litter,2.0,1.3053515844438388
13.5,38.8926,-120.6208,El Dorado,2020-02-28,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1320.0,8.0,71.0,142.0,Shrub,50.0,1.1303340901945031
16.7,38.8973,-120.6288,El Dorado,2020-02-28,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1319.0,3.0,64.0,142.0,Shrub,50.0,1.2227167312040814
24.4,39.9599,-120.0143,Lassen,2020-02-29,D,5.2,-11.55,7.0,45.0,1.4,19.3,1024.4,1349.0,5.0,259.0,102.0,Grass,50.0,1.3873900043282348
10.5,40.8607,-120.2053,Lassen,2020-03-03,D,5.8,-3.0,16.0,64.0,0.2,7.8,1023.7,1625.0,0.0,-1.0,122.0,Grass-Shrub,50.0,1.0211897126835334
4.4,39.3978,-121.6925,Butte,2020-03-03,D,9.1,-4.1,1.1,86.0,1.7,4.8,1024.4,29.0,0.0,-1.0,91.0,Nonburnable,50.0,0.6434536635179792
9.7,39.3285,-121.6526,Butte,2020-03-03,D,9.1,-4.1,1.1,86.0,1.7,4.8,1024.4,27.0,0.0,-1.0,102.0,Grass,50.0,0.986772181992284
9.6,38.7496,-120.5472,El Dorado,2020-03-03,D,13.5,8.0,18.0,38.0,1.8,7.2,1024.4,1260.0,9.0,251.0,188.0,Timber Litter,50.0,0.9822716854294181
11.7,38.7479,-120.5359,El Dorado,2020-03-03,D,13.5,8.0,18.0,38.0,1.8,7.2,1024.4,1250.0,12.0,114.0,188.0,Timber Litter,91.0,1.0681862329378677
31.2,38.7407,-120.5493,El Dorado,2020-03-03,D,13.5,8.0,18.0,38.0,1.8,7.2,1024.4,1142.0,6.0,312.0,188.0,Timber Litter,50.0,1.4941547332153697
50.3,38.8956,-120.5124,El Dorado,2020-03-03,D,13.5,8.0,18.0,38.0,1.8,7.2,1024.4,1500.0,3.0,258.0,142.0,Shrub,6.0,1.70156807139677
35.7,38.8898,-120.5388,El Dorado,2020-03-03,D,13.5,8.0,18.0,38.0,1.8,7.2,1024.4,1456.0,2.0,-1.0,122.0,Grass-Shrub,6.0,1.5526683377632917
36.8,38.8817,-120.5675,El Dorado,2020-03-04,D,15.7,10.0,21.0,32.0,1.8,8.1,1024.4,1438.0,6.0,271.0,144.0,Shrub,6.0,1.5658479366883065
47.7,38.8711,-120.5712,El Dorado,2020-03-04,D,15.7,10.0,21.0,32.0,1.8,8.1,1024.4,1383.0,2.0,-1.0,122.0,Grass-Shrub,6.0,1.6785184700871656
20.6,38.8696,-120.5833,El Dorado,2020-03-04,D,15.7,10.0,21.0,32.0,1.8,8.1,1024.4,1353.0,7.0,219.0,144.0,Shrub,6.0,1.3138674311916663
7.6,38.8803,-120.5731,El Dorado,2020-03-04,D,15.7,10.0,21.0,32.0,1.8,8.1,1024.4,1400.0,4.0,272.0,122.0,Grass-Shrub,6.0,0.8808141637205231
15.1,39.633,-121.9804,Butte,2020-03-04,D,16.7,-3.0,7.0,43.0,0.0,6.9,1024.3,33.0,1.0,-1.0,186.0,Timber Litter,50.0,1.1789772349053138
10.7,38.8029,-120.4639,El Dorado,2020-03-05,D,15.5,12.0,21.0,42.0,1.8,9.1,1024.4,1491.0,13.0,156.0,91.0,Nonburnable,61.0,1.0293841835677133
44.2,40.8438,-121.367,Shasta,2020-03-05,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1338.0,3.0,14.0,102.0,Grass,6.0,1.645422367605751
27.6,40.8419,-121.4133,Shasta,2020-03-05,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1383.0,6.0,21.0,165.0,Timber-Understory,80.0,1.4409092394182623
23.1,38.8656,-120.6225,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1302.0,4.0,254.0,165.0,Timber-Understory,6.0,1.3636121678983728
17.0,38.838,-120.4939,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1356.0,29.0,247.0,165.0,Timber-Understory,6.0,1.230449176845541
67.6,38.8334,-120.473,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1430.0,17.0,42.0,122.0,Grass-Shrub,6.0,1.829946760186377
55.1,38.8337,-120.4798,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1480.0,7.0,44.0,183.0,Timber Litter,6.0,1.7411516776711031
18.8,38.8464,-120.5787,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1503.0,13.0,185.0,142.0,Shrub,6.0,1.2741580802713215
39.9,38.857,-120.5695,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1411.0,5.0,40.0,162.0,Timber-Understory,6.0,1.6009730045324695
31.8,38.8553,-120.5811,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1365.0,5.0,194.0,122.0,Grass-Shrub,6.0,1.502427256555003
14.7,38.8589,-120.6182,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1297.0,7.0,240.0,162.0,Timber-Understory,6.0,1.1673176301864987
14.7,38.8571,-120.6299,El Dorado,2020-03-06,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1262.0,9.0,355.0,162.0,Timber-Understory,6.0,1.1673176301864987
0.0,40.7739,-122.1047,Shasta,2020-03-06,D,13.4,6.1,17.2,68.0,0.0,7.2,1012.7,315.0,14.0,152.0,98.0,Nonburnable,50.0,-5.0
0.0,40.781,-122.1193,Shasta,2020-03-06,D,13.4,6.1,17.2,68.0,0.0,7.2,1012.7,479.0,31.0,90.0,186.0,Timber Litter,50.0,-5.0
7.3,39.7689,-121.5682,Butte,2020-03-10,D,9.1,-8.9,3.5,86.0,0.0,4.8,1024.4,614.0,14.0,168.0,183.0,Timber Litter,2.0,0.8633234550439962
8.4,39.3144,-121.7442,Butte,2020-03-10,D,9.1,-8.9,3.5,86.0,0.0,4.8,1024.4,23.0,0.0,-1.0,93.0,Nonburnable,50.0,0.9242798030788143
22.2,38.824,-120.5909,El Dorado,2020-03-10,D,13.5,8.0,18.0,46.0,1.8,9.5,1024.4,1202.0,11.0,164.0,121.0,Grass-Shrub,6.0,1.3463531700787394
15.4,39.3066,-121.7499,Butte,2020-03-10,D,9.1,-8.9,3.5,86.0,0.0,4.8,1024.4,23.0,0.0,-1.0,93.0,Nonburnable,50.0,1.1875210028457754
11.0,39.6222,-121.8998,Butte,2020-03-12,D,17.3,-0.1,11.1,46.0,0.4,15.4,1024.3,37.0,0.0,-1.0,102.0,Grass,50.0,1.041393079971211
8.7,39.3075,-121.6451,Butte,2020-03-12,D,9.1,-6.6,3.7,86.0,0.0,4.8,1024.4,26.0,0.0,-1.0,102.0,Grass,50.0,0.9395197518073912
8.9,39.3059,-121.6318,Butte,2020-03-12,D,9.1,-6.6,3.7,86.0,0.0,4.8,1024.4,24.0,0.0,-1.0,102.0,Grass,50.0,0.9493904946159666
30.3,39.6035,-121.9075,Butte,2020-03-12,D,17.3,-0.1,11.1,46.0,0.4,15.4,1024.3,34.0,0.0,-1.0,93.0,Nonburnable,50.0,1.4814427718337935
6.4,39.551,-121.849,Butte,2020-03-13,D,9.1,-8.6,-3.9,86.0,0.0,4.8,1024.4,32.0,0.0,-1.0,93.0,Nonburnable,50.0,0.806180652568485
5.8,39.8192,-121.8707,Butte,2020-03-20,D,11.3,-1.1,8.9,63.0,1.1,4.5,1024.3,78.0,5.0,10.0,163.0,Timber-Understory,50.0,0.7634287423458812
6.0,39.8182,-121.8769,Butte,2020-03-21,D,12.1,-5.4,3.1,60.0,0.0,9.3,1024.3,70.0,0.0,-1.0,102.0,Grass,50.0,0.778151974207177
17.8,39.7402,-121.4951,Butte,2020-03-21,D,9.1,-9.4,-0.1,86.0,0.0,4.8,1024.4,689.0,15.0,85.0,183.0,Timber Litter,2.0,1.2504202462944893
6.8,40.4948,-122.3919,Shasta,2020-03-26,D,7.7,1.1,16.7,56.0,0.0,7.6,1016.4,204.0,16.0,350.0,122.0,Grass-Shrub,5.0,0.8325095513741224
17.9,39.6165,-121.9084,Butte,2020-04-02,D,11.5,0.2,16.4,33.0,0.2,17.8,1024.3,35.0,0.0,-1.0,93.0,Nonburnable,50.0,1.252853273602441
19.7,39.5203,-121.863,Butte,2020-04-03,D,9.1,-14.6,-7.0,86.0,1.2,4.8,1024.4,29.0,0.0,-1.0,93.0,Nonburnable,50.0,1.2944664466155886
11.1,39.6169,-121.9012,Butte,2020-04-03,D,12.3,4.6,20.6,31.0,0.0,5.7,1024.3,36.0,0.0,-1.0,93.0,Nonburnable,50.0,1.045323370042771
8.6,39.6212,-121.8928,Butte,2020-04-13,D,17.2,-1.5,5.8,41.0,1.5,10.2,1024.3,37.0,0.0,-1.0,186.0,Timber Litter,50.0,0.9344989562368577
14.1,39.7434,-121.4912,Butte,2020-04-14,D,9.1,-10.5,-1.6,86.0,0.2,4.8,1024.4,686.0,17.0,126.0,183.0,Timber Litter,2.0,1.1492194206655415
5.6,39.7337,-121.5004,Butte,2020-04-14,D,9.1,-10.5,-1.6,86.0,0.2,4.8,1024.4,697.0,6.0,241.0,144.0,Shrub,2.0,0.7481888025313684
24.6,39.6036,-121.8107,Butte,2020-04-21,D,18.1,-0.7,11.1,54.0,0.0,7.9,1024.3,39.0,0.0,-1.0,102.0,Grass,50.0,1.3909352836458155
9.3,40.8716,-121.0312,Lassen,2020-04-21,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1330.0,5.0,267.0,142.0,Shrub,50.0,0.9684834155369979
7.5,40.87,-121.0437,Lassen,2020-04-21,D,20.7,9.0,29.0,31.0,0.0,7.6,1017.3,1318.0,1.0,-1.0,121.0,Grass-Shrub,50.0,0.8750618424506232
26.9,40.4727,-122.8167,Shasta,2020-04-24,D,14.8,4.0,25.0,55.0,1.7,6.3,1024.2,1120.0,29.0,78.0,144.0,Shrub,12.0,1.4297524414501408
98.0,40.463,-122.8133,Shasta,2020-04-24,D,14.8,4.0,25.0,55.0,1.7,6.3,1024.2,921.0,24.0,75.0,102.0,Grass,50.0,1.9912261200082562
24.7,39.3363,-121.6984,Butte,2020-05-01,D,9.1,7.4,19.9,86.0,0.0,4.8,1024.4,27.0,0.0,-1.0,102.0,Grass,50.0,1.3926971290873555
18.6,38.6133,-120.5864,El Dorado,2020-05-02,D,13.7,8.0,18.0,64.0,1.8,10.4,1024.4,1021.0,10.0,8.0,142.0,Shrub,50.0,1.2695131777095106
15.1,38.6122,-120.5921,El Dorado,2020-05-02,D,13.7,8.0,18.0,64.0,1.8,10.4,1024.4,1014.0,8.0,14.0,188.0,Timber Litter,50.0,1.1789772349053138
12.1,39.6092,-121.8045,Butte,2020-05-04,D,19.8,3.3,11.6,34.0,0.7,7.7,1024.3,40.0,0.0,-1.0,102.0,Grass,50.0,1.0827857292373613
38.6,39.3336,-121.7061,Butte,2020-05-04,D,9.1,3.4,5.2,86.0,30.1,4.8,1024.4,26.0,1.0,-1.0,186.0,Timber Litter,50.0,1.5865874171832643
10.1,39.3318,-121.6944,Butte,2020-05-04,D,9.1,3.4,5.2,86.0,30.1,4.8,1024.4,27.0,0.0,-1.0,102.0,Grass,50.0,1.0043218037769661
17.8,39.3338,-121.7098,Butte,2020-05-04,D,9.1,3.4,5.2,86.0,30.1,4.8,1024.4,26.0,0.0,-1.0,91.0,Nonburnable,50.0,1.2504202462944893
7.9,39.6084,-121.8179,Butte,2020-05-06,D,22.3,1.8,16.2,27.0,0.0,27.8,1024.3,39.0,0.0,-1.0,102.0,Grass,50.0,0.897627641029944
21.7,39.6005,-121.8102,Butte,2020-05-07,D,24.3,5.2,18.2,18.0,0.0,13.5,1024.3,38.0,0.0,-1.0,186.0,Timber Litter,50.0,1.3364599339841894
14.8,39.6594,-121.8142,Butte,2020-05-28,D,30.4,16.1,26.4,34.0,0.8,9.3,1024.3,51.0,0.0,-1.0,91.0,Nonburnable,50.0,1.1702620088370759
12.4,39.3174,-121.6577,Butte,2020-06-03,D,9.1,7.1,27.4,86.0,0.0,4.8,1024.4,26.0,0.0,-1.0,102.0,Grass,50.0,1.0934220353995792
98.0,39.8129,-120.2177,Plumas,2020-06-18,D,12.1,1.4210526315789476,26.052631578947366,39.0,1.4,8.35,1024.4,1499.0,0.0,-1.0,102.0,Grass,50.0,1.9912261200082562
21.5,40.4892,-122.5213,Shasta,2020-06-19,D,28.2,15.6,37.8,32.0,0.0,6.8,1008.7,274.0,6.0,238.0,102.0,Grass,2.0,1.3324386619129918
23.3,40.4868,-122.5079,Shasta,2020-06-19,D,28.2,15.6,37.8,32.0,0.0,6.8,1008.7,259.0,15.0,348.0,121.0,Grass-Shrub,2.0,1.3673561074184606
19.8,40.4752,-122.5154,Shasta,2020-06-19,D,28.2,15.6,37.8,32.0,0.0,6.8,1008.7,285.0,4.0,359.0,142.0,Shrub,7.0,1.296665409602123
10.4,39.3405,-121.4704,Butte,2020-06-30,D,9.1,17.1,29.7,86.0,6.4,4.8,1024.4,63.0,4.0,134.0,102.0,Grass,50.0,1.0170337568894277
54.0,39.4247,-121.387,Butte,2020-07-13,D,9.1,15.2,27.2,86.0,0.0,4.8,1024.4,536.0,3.0,292.0,163.0,Timber-Understory,50.0,1.7323938402478651
115.8,40.4235,-120.8329,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1589.0,19.0,142.0,99.0,Nonburnable,50.0,2.063708596895257
196.7,40.4213,-120.8457,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1533.0,8.0,206.0,162.0,Timber-Understory,50.0,2.2938043819983642
89.5,40.4193,-120.8582,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1650.0,11.0,134.0,165.0,Timber-Understory,50.0,1.9518230838404325
41.7,40.4327,-120.8354,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1644.0,5.0,220.0,165.0,Timber-Understory,50.0,1.6201361591211028
71.3,40.4306,-120.8481,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1647.0,12.0,17.0,188.0,Timber Litter,50.0,1.8530895907627283
16.7,40.4285,-120.8608,Lassen,2020-07-18,N,25.6,13.0,36.0,33.0,0.2,9.0,1023.7,1659.0,4.0,194.0,165.0,Timber-Understory,50.0,1.2227167312040814
14.1,40.4332,-120.8417,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1666.0,3.0,172.0,121.0,Grass-Shrub,50.0,1.1492194206655415
8.2,40.4314,-120.8301,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1646.0,4.0,206.0,99.0,Nonburnable,50.0,0.9138143820108107
11.9,40.426,-120.8555,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1632.0,14.0,4.0,161.0,Timber-Understory,50.0,1.0755473263457236
43.4,40.4243,-120.8439,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1602.0,14.0,266.0,161.0,Timber-Understory,50.0,1.6374898295803522
77.4,40.4226,-120.8323,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1546.0,26.0,158.0,121.0,Grass-Shrub,50.0,1.8887410167932872
18.2,40.4208,-120.8208,Lassen,2020-07-19,N,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1656.0,24.0,90.0,161.0,Timber-Understory,50.0,1.260071626608351
208.6,40.4302,-120.8416,Lassen,2020-07-19,D,26.2,14.0,37.0,26.0,0.2,10.4,1023.7,1618.0,20.0,223.0,165.0,Timber-Understory,50.0,2.319314324909998
